 основы|я|je
 основы|ты|tu
 основы|он|il
 основы|она|elle
 основы|мы|nous
 основы|вы|vous
 основы|они|ils
 основы|этот|cette / ce
 основы|тот|cette / ce
 основы|мой|mon
 основы|твой|ton
 основы|его|son
 основы|её|son
 основы|наш|notre
 основы|ваш|votre
 основы|их|leur
 основы|кто|qui
 основы|что|que
 основы|где|où
 основы|когда|quand
 основы|почему|pourquoi
 основы|как|comment
 основы|сколько|combien
 основы|да|oui
 основы|нет|non
 основы|хорошо|bien
 основы|плохо|mal
 основы|очень|très
 основы|мало|peu
 основы|много|beaucoup
 основы|ещё|encore
 основы|уже|déjà
 основы|всегда|toujours
 основы|никогда|jamais
 основы|иногда|parfois
 основы|часто|souvent
 основы|быстро|vite
 основы|медленно|lentement
 основы|сейчас|maintenant
 основы|потом|plus tard
 основы|сегодня|aujourd'hui
 основы|завтра|demain
 основы|вчера|hier
 основы|утром|le matin
 основы|днём|l'après-midi
 основы|вечером|le soir
 основы|ночью|la nuit
 основы|большой|grand
 основы|маленький|petit
 основы|новый|neuf
 основы|старый|vieux
 основы|молодой|jeune
 основы|хороший|bon
 основы|плохой|mauvais
 основы|красивый|beau
 основы|высокий|haut
 основы|низкий|bas
 основы|лёгкий|léger
 основы|тяжёлый|lourd
 основы|тёплый|chaud
 основы|холодный|froid
 основы|чистый|propre
 основы|грязный|sale
 основы|светлый|clair
 основы|тёмный|sombre
 основы|работать|travailler
 основы|учиться|étudier
 основы|читать|lire
 основы|писать|écrire
 основы|слушать|écouter
 основы|говорить|parler
 основы|понимать|comprendre
 основы|знать|savoir
 основы|думать|penser
 основы|помнить|se souvenir
 основы|забывать|oublier
 основы|находить|trouver
 основы|покупать|acheter
 основы|давать|donner
 основы|брать|prendre
 основы|открывать|ouvrir
 основы|закрывать|fermer
 основы|входить|entrer
 основы|выходить|sortir
 основы|приходить|venir
 основы|уходить|partir
 основы|ехать|aller
 основы|бегать|courir
 основы|ходить|marcher
 основы|спать|dormir
 основы|есть (кушать)|manger
 основы|пить|boire
 основы|готовить|cuisiner
 основы|любить|aimer
 основы|хотеть|vouloir
 основы|мочь|pouvoir
 основы|должен|devoir
 основы|нуждаться|avoir besoin
 основы|уметь|savoir faire
 основы|радоваться|se réjouir
 еда|хлеб|le pain
 еда|сыр|le fromage
 еда|масло|le beurre
 еда|яйцо|l'œuf
 еда|молоко|le lait
 еда|кофе|le café
 еда|чай|le thé
 еда|сок|le jus
 еда|вода|l'eau
 еда|яблоко|la pomme
 еда|банан|la banane
 еда|апельсин|l'orange
 еда|клубника|la fraise
 еда|виноград|le raisin
 еда|груша|la poire
 еда|картофель|la pomme de terre
 еда|морковь|la carotte
 еда|помидор|la tomate
 еда|огурец|le concombre
 еда|лук|l'oignon
 еда|мясо|la viande
 еда|рыба|le poisson
 еда|курица|le poulet
 еда|говядина|le bœuf
 еда|свинина|le porc
 еда|суп|la soupe
 еда|салат|la salade
 еда|десерт|le dessert
 еда|торт|le gâteau
 еда|мороженое|la glace
 дом|дом|la maison
 дом|квартира|l'appartement
 дом|комната|la chambre
 дом|кухня|la cuisine
 дом|ванная|la salle de bain
 дом|туалет|les toilettes
 дом|окно|la fenêtre
 дом|дверь|la porte
 дом|стол|la table
 дом|стул|la chaise
 дом|кровать|le lit
 дом|шкаф|l'armoire
 дом|лампа|la lampe
 дом|холодильник|le réfrigérateur
 дом|плита|la cuisinière
 дом|чашка|la tasse
 дом|тарелка|l'assiette
 дом|ложка|la cuillère
 дом|вилка|la fourchette
 дом|нож|le couteau
 дом|стакан|le verre
 дом|диван|le canapé
 дом|кресло|le fauteuil
 дом|телевизор|la télévision
 дом|ковёр|le tapis
 дом|полка|l'étagère
 дом|ключ|la clé
 дом|сумка|le sac
 дом|часы|la montre
 дом|телефон|le téléphone
 одежда|одежда|les vêtements
 одежда|рубашка|la chemise
 одежда|брюки|le pantalon
 одежда|платье|la robe
 одежда|юбка|la jupe
 одежда|куртка|la veste
 одежда|пальто|le manteau
 одежда|шапка|le bonnet
 одежда|шарф|l'écharpe
 одежда|перчатки|les gants
 одежда|обувь|les chaussures
 одежда|туфли|les chaussures à talons
 одежда|кеды|les baskets
 одежда|носки|les chaussettes
 одежда|чулки|les bas
 одежда|пижама|le pyjama
 одежда|купальник|le maillot de bain
 одежда|очки|les lunettes
 одежда|зонт|le parapluie
 одежда|ремень|la ceinture
 семья|семья|la famille
 семья|мать|la mère
 семья|отец|le père
 семья|сын|le fils
 семья|дочь|la fille
 семья|брат|le frère
 семья|сестра|la sœur
 семья|дедушка|le grand-père
 семья|бабушка|la grand-mère
 семья|внук|le petit-fils
 семья|внучка|la petite-fille
 семья|дядя|l'oncle
 семья|тётя|la tante
 семья|муж|le mari
 семья|жена|la femme
 семья|ребёнок|l'enfant
 семья|друг|l'ami
 семья|подруга|l'amie
 семья|сосед|le voisin
 семья|коллега|le collègue
 работа|работа|le travail
 работа|начальник|le chef
 работа|сотрудник|l'employé
 работа|учитель|le professeur
 работа|врач|le médecin
 работа|инженер|l'ingénieur
 работа|программист|le programmeur
 работа|юрист|l'avocat
 работа|бухгалтер|le comptable
 работа|продавец|le vendeur
 работа|водитель|le chauffeur
 работа|строитель|le constructeur
 работа|художник|l'artiste
 работа|музыкант|le musicien
 работа|повар|le cuisinier
 работа|официант|le serveur
 работа|уборщик|le nettoyeur
 работа|секретарь|le secrétaire
 работа|офис|le bureau
 работа|зарплата|le salaire
 путешествия|путешествие|le voyage
 путешествия|билет|le billet
 путешествия|поезд|le train
 путешествия|автобус|l'autobus
 путешествия|метро|le métro
 путешествия|такси|le taxi
 путешествия|самолёт|l'avion
 путешествия|отель|l'hôtel
 путешествия|чемодан|la valise
 путешествия|паспорт|le passeport
 путешествия|виза|le visa
 путешествия|граница|la frontière
 путешествия|карта|la carte
 путешествия|гид|le guide
 путешествия|отпуск|les vacances
 путешествия|море|la mer
 путешествия|пляж|la plage
 путешествия|гора|la montagne
 путешествия|озеро|le lac
 путешествия|город|la ville
 здоровье|здоровье|la santé
 здоровье|врач|le médecin
 здоровье|больница|l'hôpital
 здоровье|аптека|la pharmacie
 здоровье|лекарство|le médicament
 здоровье|боль|la douleur
 здоровье|голова|la tête
 здоровье|глаз|l'œil
 здоровье|нос|le nez
 здоровье|рот|la bouche
 здоровье|ухо|l'oreille
 здоровье|рука|le bras
 здоровье|нога|la jambe
 здоровье|сердце|le cœur
 здоровье|кровь|le sang
 здоровье|температура|la fièvre
 здоровье|простуда|le rhume
 здоровье|грипп|la grippe
 здоровье|аллергия|l'allergie
 здоровье|скорая|l'ambulance
 спорт|спорт|le sport
 спорт|футбол|le football
 спорт|баскетбол|le basket-ball
 спорт|теннис|le tennis
 спорт|бег|la course
 спорт|волейбол|le volley-ball
 спорт|плавание|la natation
 спорт|лыжи|le ski
 спорт|велосипед|le vélo
 спорт|стадион|le stade
 спорт|бассейн|la piscine
 спорт|тренировка|l'entraînement
 спорт|команда|l'équipe
 спорт|победа|la victoire
 спорт|поражение|la défaite
 спорт|сильный|fort
 спорт|быстрый|rapide
 спорт|игрок|le joueur
 спорт|тренер|l'entraîneur
 спорт|соревнование|la compétition
 природа|природа|la nature
 природа|дерево|l'arbre
 природа|цветок|la fleur
 природа|трава|l'herbe
 природа|лес|la forêt
 природа|поле|le champ
 природа|река|la rivière
 природа|солнце|le soleil
 природа|дождь|la pluie
 природа|снег|la neige
 природа|ветер|le vent
 природа|гроза|l'orage
 природа|туман|le brouillard
 природа|жара|la chaleur
 природа|холод|le froid
 природа|градус|le degré
 природа|небо|le ciel
 природа|звезда|l'étoile
 природа|луна|la lune
 природа|земля|la terre
 животные|животное|l'animal
 животные|кошка|le chat
 животные|собака|le chien
 животные|птица|l'oiseau
 животные|рыба|le poisson
 животные|лошадь|le cheval
 животные|корова|la vache
 животные|свинья|le cochon
 животные|курица|la poule
 животные|утка|le canard
 животные|волк|le loup
 животные|лиса|le renard
 животные|медведь|l'ours
 животные|заяц|le lièvre
 животные|мышь|la souris
 животные|белка|l'écureuil
 животные|лев|le lion
 животные|слон|l'éléphant
 животные|жираф|la girafe
 животные|обезьяна|le singe
 время|время|le temps
 время|час|l'heure
 время|минута|la minute
 время|секунда|la seconde
 время|день|le jour
 время|неделя|la semaine
 время|месяц|le mois
 время|год|l'année
 время|утро|le matin
 время|вечер|le soir
 цвета|красный|rouge
 цвета|синий|bleu
 цвета|зелёный|vert
 цвета|жёлтый|jaune
 цвета|чёрный|noir
 цвета|белый|blanc
 цвета|серый|gris
 цвета|розовый|rose
 цвета|оранжевый|orange
 цвета|фиолетовый|violet
 глаголы|идти|aller
 глаголы|приходить|venir
 глаголы|уходить|partir
 глаголы|бежать|courir
 глаголы|плыть|nager
 глаголы|лететь|voler
 глаголы|ехать|conduire
 глаголы|ходить|marcher
 глаголы|прыгать|sauter
 глаголы|падать|tomber
 чувства|любовь|l'amour
 чувства|счастье|le bonheur
 чувства|грусть|la tristesse
 чувства|гнев|la colère
 чувства|страх|la peur
 чувства|удивление|la surprise
 чувства|спокойствие|le calme
 чувства|радость|la joie
 чувства|зависть|la jalousie
 чувства|надежда|l'espoir
 
